date,I3GBR045,I3GBR040,I6UNK041,I3GBR020,I3GBR083,I3GRC021,I6UNK175,I3GBR052,I3GBR054,VNQ
2015-01-31 00:00:00+00:00,0.08537204948033938,0.039622546012153315,-0.02185843934800058,0.06907022140938146,0.069069871777792,-0.3443395595668326,0.18630538622223547,0.024803888562606957,0.02589851760551909,0.07981050323343108
2015-02-28 00:00:00+00:00,0.15404370538857215,0.09005758788847995,0.08993342908738367,-0.009266748759030108,-0.009266822471287739,0.18655096056719778,-0.02480820650611104,0.020026716102956144,0.04739958213398232,-0.03743332193505733
2015-03-31 00:00:00+00:00,-0.040541737351412976,-0.044507428320080145,-0.032931681106804334,-0.018237591481366167,-0.018237582232904614,-0.15259458583292496,-0.15658167711181026,-0.025816694300626608,-0.019916336759241204,0.01121165484487019
2015-04-30 00:00:00+00:00,0.029488026285359403,0.01886904873195583,0.11198495762249028,-0.0205669908200381,-0.020567001135349372,0.032367621331911955,0.10526279737954436,0.02849544094438805,0.02443246358133422,-0.0542953297156572
2015-05-31 00:00:00+00:00,-0.11034073234896002,0.035524881230850625,-0.054367242273995586,0.042630774726276854,0.042630779202454505,0.04796666855341325,-0.035134725018302504,-0.007737583691961092,0.026086455672905018,-0.003028171909534194
2015-06-30 00:00:00+00:00,-0.2889573424774241,-0.09081436415333766,-0.023697581090266873,-0.09163446595596803,-0.09163446385234408,-0.05211925208486434,-0.09378590153451682,-0.0772951199907137,-0.048245566988324384,-0.057872064785212896
2015-07-31 00:00:00+00:00,-0.19227331990906382,-0.017119487225112806,-0.06002603446466992,-0.04901440012262448,-0.04901440016012337,0.0,-0.2463617574793453,0.01969031509899999,0.027318856874201103,0.06616268294692729
2015-08-31 00:00:00+00:00,-0.19285691021821005,-0.06231689956087916,-0.05916134590259947,-0.08789659035232411,-0.08789660619023643,-0.45881923212930165,0.010015425137654077,-0.07275514211489309,-0.05268162800748222,-0.06497751058460155
2015-09-30 00:00:00+00:00,-0.15312103261426735,0.009133161685457303,-0.04783948800531235,-0.08473890950808638,-0.08473889642847077,0.001879346540741622,-0.017666661248770588,-0.0399637185036017,-0.018437348858128644,0.02019183340697772
2015-10-31 00:00:00+00:00,0.12823524308862133,0.05743723720715277,0.050500452574583576,0.0691918686046904,0.06919186595416527,0.1305933594619777,0.09968189934017335,0.05101838600707076,0.03741365578954614,0.06593503299094738
2015-11-30 00:00:00+00:00,-0.040195588373425295,0.07661226817180466,-0.030950378215258034,0.04526890515032278,0.04526890867862576,-0.3284308377462195,-0.08368714185636872,-0.004986600948871711,0.010017642961898332,-0.0062781504276281375
2015-12-31 00:00:00+00:00,-0.13445030154469695,-0.06705882957645848,-0.07617583842054731,0.025949891850949314,0.025949887704681984,0.005476964854919775,0.015765666840825254,-0.021347483445619986,-0.008105981678069085,0.0042732729514725065
2016-01-31 00:00:00+00:00,-0.16461751885243725,-0.0411022030286432,-0.016497476787425747,-0.10090295458748422,-0.10090294994909144,-0.27217555173322916,0.07947631964064783,-0.01349592885867068,-0.048788451314196735,-0.021099632578261307
2016-02-29 00:00:00+00:00,0.11806951115036401,0.010117449013680613,0.022693607245021674,-0.01372358641465965,-0.013723580840458993,-0.12863495297785388,0.2953221997078437,-0.004042020594010154,0.010822132470828194,-0.003643498568654646
2016-03-31 00:00:00+00:00,0.25649499753914284,0.027314355122337375,0.14916265989298694,0.04896330740182897,0.048963296330340356,0.13815033848081715,0.0479271009857678,0.01774689021873499,0.0095644242331403,0.0884011949471799
2016-04-30 00:00:00+00:00,0.4439723689607131,-0.09303458213972071,0.031799783652648905,-0.03559847355639967,-0.03559846512857945,0.028590045293571897,0.23879597671581632,0.0234850023990667,-0.00975718274142956,-0.012657764284980999
2016-05-31 00:00:00+00:00,-0.24214482356519618,0.049824009344871634,-0.06957191993354339,-0.013728529147188695,-0.0137285390096622,0.1330998931572016,-0.12231479718498228,-0.01850552412700246,0.02529015150431313,0.022236618978222822
2016-06-30 00:00:00+00:00,0.20028531901129298,0.11749468269865737,-0.007493905453324956,-0.019097178048255614,-0.01909716125270222,-0.2853350470659275,0.20472485279260688,0.06721337976440189,-0.018491968509978918,0.0580412142565665
2016-07-31 00:00:00+00:00,0.23012984578558449,0.3560786532240776,-0.0036499597590697874,0.07049959104642589,0.07049957331679302,0.05695373411648186,0.0856015611489429,0.02427290217289979,0.05302343108667351,0.05069455467916395
