asset_id,asset_class,coverage,n_obs,ann_vol,first_date,last_date,valid
I3GBR029,Index,1.0,249,0.16641745546508246,2005-02-28,2025-10-31,True
I3IRL004,Index,1.0,249,0.19904885933117095,2005-02-28,2025-10-31,True
I3NOR006,Index,1.0,249,0.18072638514203615,2005-02-28,2025-10-31,True
I3NOR004,Index,1.0,249,0.1887996227548771,2005-02-28,2025-10-31,True
I3NOR002,Index,1.0,249,0.18594461022263448,2005-02-28,2025-10-31,True
I3NLD014,Index,1.0,249,0.16520841166203643,2005-02-28,2025-10-31,True
I3NLD013,Index,1.0,249,0.17658941201595604,2005-02-28,2025-10-31,True
I3NLD012,Index,1.0,249,0.18565742694368595,2005-02-28,2025-10-31,True
I3MLT002,Index,1.0,249,0.12745763399621587,2005-02-28,2025-10-31,True
I3LUX001,Index,1.0,249,0.21829130227019417,2005-02-28,2025-10-31,True
I3ITA028,Index,1.0,249,0.201147515526422,2005-02-28,2025-10-31,True
I3ITA003,Index,1.0,249,0.20027479843133716,2005-02-28,2025-10-31,True
I3ISL001,Index,1.0,249,0.34385536406507883,2005-02-28,2025-10-31,True
I3IRL002,Index,1.0,249,0.5655520422661854,2005-02-28,2025-10-31,True
I3GBR059,Index,1.0,249,0.13026730890961602,2005-02-28,2025-10-31,True
I3IRL001,Index,1.0,249,0.21947726537249834,2005-02-28,2025-10-31,True
I3HUN001,Index,1.0,249,0.21869662832183778,2005-02-28,2025-10-31,True
I3HRV001,Index,1.0,249,0.20757217110853624,2005-02-28,2025-10-31,True
I3GRC021,Index,1.0,249,0.36222044364504274,2005-02-28,2025-10-31,True
I3GRC020,Index,1.0,249,0.2944530704617459,2005-02-28,2025-10-31,True
I3GBR082,Index,1.0,249,0.3173237259322243,2005-02-28,2025-10-31,True
I3GBR069,Index,1.0,249,0.16208959806658854,2005-02-28,2025-10-31,True
I3GBR068,Index,1.0,249,0.12702313987516428,2005-02-28,2025-10-31,True
I3GBR067,Index,1.0,249,0.2375732375457619,2005-02-28,2025-10-31,True
I3GBR066,Index,1.0,249,0.14407792362022423,2005-02-28,2025-10-31,True
I3GBR065,Index,1.0,249,0.13002289622619484,2005-02-28,2025-10-31,True
I3NOR007,Index,1.0,249,0.18557388194502195,2005-02-28,2025-10-31,True
I3POL001,Index,1.0,249,0.2008236959488989,2005-02-28,2025-10-31,True
I3PRT002,Index,1.0,249,0.17814210357423446,2005-02-28,2025-10-31,True
I3PRT014,Index,1.0,249,0.17216853889364467,2005-02-28,2025-10-31,True
I6UNK003,Index,1.0,249,0.1714417103568601,2005-02-28,2025-10-31,True
I6UNK002,Index,1.0,249,0.17814103983823723,2005-02-28,2025-10-31,True
I6UNK001,Index,1.0,249,0.15779976045713848,2005-02-28,2025-10-31,True
I5CAN004,Index,1.0,249,0.13370041230188218,2005-02-28,2025-10-31,True
I5CAN003,Index,1.0,249,0.13573169735610355,2005-02-28,2025-10-31,True
I4VEN002,Index,1.0,249,4.025533487372132,2005-02-28,2025-10-31,True
I4MEX005,Index,1.0,249,0.1656674864930844,2005-02-28,2025-10-31,True
I4MEX003,Index,1.0,249,0.17373372278183513,2005-02-28,2025-10-31,True
I4MEX001,Index,1.0,249,0.16746991016420282,2005-02-28,2025-10-31,True
I4JAM001,Index,1.0,249,0.1527879855172025,2005-02-28,2025-10-31,True
I4COL002,Index,1.0,249,0.2248231623584853,2005-02-28,2025-10-31,True
I4CHL003,Index,1.0,249,0.16983982702650852,2005-02-28,2025-10-31,True
I4CHL002,Index,1.0,249,0.16471870871572603,2005-02-28,2025-10-31,True
I4BRA003,Index,1.0,249,0.21925386862761517,2005-02-28,2025-10-31,True
I4BRA002,Index,1.0,249,0.22469611806140846,2005-02-28,2025-10-31,True
I4ARG003,Index,1.0,249,0.4175359433060502,2005-02-28,2025-10-31,True
I3TUR001,Index,1.0,249,1.0574439386177115,2005-02-28,2025-10-31,True
I3SWE004,Index,1.0,249,0.15966125341063123,2005-02-28,2025-10-31,True
I3SWE003,Index,1.0,249,0.16702319059104362,2005-02-28,2025-10-31,True
I3SWE002,Index,1.0,249,0.17288724016752108,2005-02-28,2025-10-31,True
I3SWE001,Index,1.0,249,0.1677532567714565,2005-02-28,2025-10-31,True
I3SVK001,Index,1.0,249,0.14902184922472966,2005-02-28,2025-10-31,True
I3ROM001,Index,1.0,249,0.2492410442896373,2005-02-28,2025-10-31,True
I3GBR062,Index,1.0,249,0.13031006512108462,2005-02-28,2025-10-31,True
I3GBR057,Index,1.0,249,0.18079584969989643,2005-02-28,2025-10-31,True
I6UNK005,Index,1.0,249,0.1835932935674109,2005-02-28,2025-10-31,True
I3GBR005,Index,1.0,249,0.13470213572080936,2005-02-28,2025-10-31,True
I3GBR017,Index,1.0,249,0.21468694138785654,2005-02-28,2025-10-31,True
I3GBR016,Index,1.0,249,0.2087591416347972,2005-02-28,2025-10-31,True
I3GBR014,Index,1.0,249,0.19588254002593605,2005-02-28,2025-10-31,True
I3GBR013,Index,1.0,249,0.2308508075026956,2005-02-28,2025-10-31,True
I3GBR012,Index,1.0,249,0.1493608495318741,2005-02-28,2025-10-31,True
I3GBR011,Index,1.0,249,0.1816029854261837,2005-02-28,2025-10-31,True
I3GBR010,Index,1.0,249,0.2356636444125993,2005-02-28,2025-10-31,True
I3GBR009,Index,1.0,249,0.19164346866946635,2005-02-28,2025-10-31,True
I3GBR008,Index,1.0,249,0.15464378557627723,2005-02-28,2025-10-31,True
I3GBR007,Index,1.0,249,0.19509198467117506,2005-02-28,2025-10-31,True
I3GBR006,Index,1.0,249,0.2532085376832365,2005-02-28,2025-10-31,True
I3GBR004,Index,1.0,249,0.17258187758355456,2005-02-28,2025-10-31,True
I3GBR055,Index,1.0,249,0.16264453713926208,2005-02-28,2025-10-31,True
I3GBR003,Index,1.0,249,0.15406923466882105,2005-02-28,2025-10-31,True
I3GBR001,Index,1.0,249,0.13098522486126457,2005-02-28,2025-10-31,True
I3FRA006,Index,1.0,249,0.16440631673273995,2005-02-28,2025-10-31,True
I3FRA005,Index,1.0,249,0.1645923247531237,2005-02-28,2025-10-31,True
I3FRA004,Index,1.0,249,0.1629438256878332,2005-02-28,2025-10-31,True
I3FRA002,Index,1.0,249,0.16313003168142295,2005-02-28,2025-10-31,True
I3FRA001,Index,1.0,249,0.16585606562706934,2005-02-28,2025-10-31,True
I3FIN022,Index,1.0,249,0.17840050356625126,2005-02-28,2025-10-31,True
I3FIN021,Index,1.0,249,0.18571654631453482,2005-02-28,2025-10-31,True
I3FIN020,Index,1.0,249,0.17542998794538764,2005-02-28,2025-10-31,True
I3FIN003,Index,1.0,249,0.17222928595883813,2005-02-28,2025-10-31,True
I3GBR018,Index,1.0,249,0.2297336475286651,2005-02-28,2025-10-31,True
I3GBR019,Index,1.0,249,0.22709196389754932,2005-02-28,2025-10-31,True
I3GBR020,Index,1.0,249,0.3804028533538246,2005-02-28,2025-10-31,True
I3GBR021,Index,1.0,249,0.1315415582073434,2005-02-28,2025-10-31,True
I3GBR054,Index,1.0,249,0.14079817938900985,2005-02-28,2025-10-31,True
I3GBR053,Index,1.0,249,0.13095731808549194,2005-02-28,2025-10-31,True
I3GBR052,Index,1.0,249,0.13713944748844276,2005-02-28,2025-10-31,True
I3GBR050,Index,1.0,249,0.16303733076582114,2005-02-28,2025-10-31,True
I3GBR049,Index,1.0,249,0.12961127743942802,2005-02-28,2025-10-31,True
I3GBR048,Index,1.0,249,0.24673855120378985,2005-02-28,2025-10-31,True
I3GBR047,Index,1.0,249,0.216314082152829,2005-02-28,2025-10-31,True
I3GBR044,Index,1.0,249,0.19114674345659768,2005-02-28,2025-10-31,True
I3GBR043,Index,1.0,249,0.19496153870741345,2005-02-28,2025-10-31,True
I3GBR042,Index,1.0,249,0.1474477843161656,2005-02-28,2025-10-31,True
I3GBR040,Index,1.0,249,0.3303386757507046,2005-02-28,2025-10-31,True
I3GBR039,Index,1.0,249,0.32980817101976384,2005-02-28,2025-10-31,True
I3GBR035,Index,1.0,249,0.27350319500090287,2005-02-28,2025-10-31,True
I3GBR033,Index,1.0,249,0.19866945540866995,2005-02-28,2025-10-31,True
I3GBR032,Index,1.0,249,0.13735276784742328,2005-02-28,2025-10-31,True
I3GBR030,Index,1.0,249,0.1686435710905024,2005-02-28,2025-10-31,True
I3GBR028,Index,1.0,249,0.15594038755803105,2005-02-28,2025-10-31,True
I3GBR027,Index,1.0,249,0.21546347575423347,2005-02-28,2025-10-31,True
I3GBR026,Index,1.0,249,0.1719664106709997,2005-02-28,2025-10-31,True
I3GBR025,Index,1.0,249,0.1549830548125652,2005-02-28,2025-10-31,True
I3GBR024,Index,1.0,249,0.2173007201776131,2005-02-28,2025-10-31,True
I3GBR023,Index,1.0,249,0.21628149622905954,2005-02-28,2025-10-31,True
I3GBR022,Index,1.0,249,0.31613713287515066,2005-02-28,2025-10-31,True
I6UNK004,Index,1.0,249,0.16524033861369591,2005-02-28,2025-10-31,True
I6UNK006,Index,1.0,249,0.13970720254317856,2005-02-28,2025-10-31,True
I3EST002,Index,1.0,249,0.22223610688636344,2005-02-28,2025-10-31,True
I6UNK135,Index,1.0,249,0.20117339858577618,2005-02-28,2025-10-31,True
I6UNK148,Index,1.0,249,0.14820388701606818,2005-02-28,2025-10-31,True
I6UNK147,Index,1.0,249,0.2584965143879903,2005-02-28,2025-10-31,True
I6UNK146,Index,1.0,249,0.21279922556861622,2005-02-28,2025-10-31,True
I6UNK144,Index,1.0,249,0.13080503436608173,2005-02-28,2025-10-31,True
I6UNK143,Index,1.0,249,0.18152651365531305,2005-02-28,2025-10-31,True
I6UNK142,Index,1.0,249,0.20102668327062004,2005-02-28,2025-10-31,True
I6UNK141,Index,1.0,249,0.14977308326226743,2005-02-28,2025-10-31,True
I6UNK140,Index,1.0,249,0.2522131984425291,2005-02-28,2025-10-31,True
I6UNK139,Index,1.0,249,0.20493999610017835,2005-02-28,2025-10-31,True
I6UNK138,Index,1.0,249,0.20463867347034415,2005-02-28,2025-10-31,True
I6UNK136,Index,1.0,249,0.14382334228212448,2005-02-28,2025-10-31,True
I6UNK133,Index,1.0,249,0.145279357572464,2005-02-28,2025-10-31,True
I6UNK108,Index,1.0,249,0.20569945170830356,2005-02-28,2025-10-31,True
I6UNK132,Index,1.0,249,0.1292139124720562,2005-02-28,2025-10-31,True
I6UNK131,Index,1.0,249,0.22391366119415393,2005-02-28,2025-10-31,True
I6UNK130,Index,1.0,249,0.16535373434510808,2005-02-28,2025-10-31,True
I6UNK127,Index,1.0,249,0.15567149384580248,2005-02-28,2025-10-31,True
I6UNK125,Index,1.0,249,0.14659014184879882,2005-02-28,2025-10-31,True
I6UNK121,Index,1.0,249,0.16850990046933476,2005-02-28,2025-10-31,True
I6UNK119,Index,1.0,249,0.16474318809995514,2005-02-28,2025-10-31,True
I6UNK118,Index,1.0,249,0.1771187365966655,2005-02-28,2025-10-31,True
I6UNK113,Index,1.0,249,0.28041788610301427,2005-02-28,2025-10-31,True
I6UNK112,Index,1.0,249,0.15517866311201614,2005-02-28,2025-10-31,True
I6UNK111,Index,1.0,249,0.1532836780014804,2005-02-28,2025-10-31,True
I6UNK150,Index,1.0,249,0.12543290954188813,2005-02-28,2025-10-31,True
I6UNK151,Index,1.0,249,0.20089681211739055,2005-02-28,2025-10-31,True
I6UNK152,Index,1.0,249,0.1932780220703707,2005-02-28,2025-10-31,True
I6UNK153,Index,1.0,249,0.1841081585934938,2005-02-28,2025-10-31,True
I6USA007,Index,1.0,249,0.1779523504941386,2005-02-28,2025-10-31,True
I6USA006,Index,1.0,249,0.14896574455075856,2005-02-28,2025-10-31,True
I6USA005,Index,1.0,249,0.1525310522570276,2005-02-28,2025-10-31,True
I6USA004,Index,1.0,249,0.147327872523517,2005-02-28,2025-10-31,True
I6UNK175,Index,1.0,249,0.3587607533677114,2005-02-28,2025-10-31,True
I6UNK173,Index,1.0,249,0.15477080086249925,2005-02-28,2025-10-31,True
I6UNK172,Index,1.0,249,0.14821077258904045,2005-02-28,2025-10-31,True
I6UNK171,Index,1.0,249,0.19491723393350577,2005-02-28,2025-10-31,True
I6UNK170,Index,1.0,249,0.1868371364028272,2005-02-28,2025-10-31,True
I6UNK169,Index,1.0,249,0.22098394330627558,2005-02-28,2025-10-31,True
I6UNK168,Index,1.0,249,0.12776144339133358,2005-02-28,2025-10-31,True
I6UNK167,Index,1.0,249,0.14851562113692857,2005-02-28,2025-10-31,True
I6UNK166,Index,1.0,249,0.1642468304969701,2005-02-28,2025-10-31,True
I6UNK164,Index,1.0,249,0.13455156161628268,2005-02-28,2025-10-31,True
I6UNK163,Index,1.0,249,0.19535765395020693,2005-02-28,2025-10-31,True
I6UNK162,Index,1.0,249,0.1707946940519887,2005-02-28,2025-10-31,True
I6UNK161,Index,1.0,249,0.15850995450381422,2005-02-28,2025-10-31,True
I6UNK160,Index,1.0,249,0.20150258616178673,2005-02-28,2025-10-31,True
