asset_id,n_obs,coverage,first_date,last_date,ann_vol,valid
I3GBR029,249,1.0,2005-02-28,2025-10-31,0.16641745546508246,True
I3IRL004,249,1.0,2005-02-28,2025-10-31,0.19904885933117095,True
I3NOR006,249,1.0,2005-02-28,2025-10-31,0.18072638514203615,True
I3NOR004,249,1.0,2005-02-28,2025-10-31,0.1887996227548771,True
I3NOR002,249,1.0,2005-02-28,2025-10-31,0.18594461022263448,True
I3NLD014,249,1.0,2005-02-28,2025-10-31,0.16520841166203643,True
I3NLD013,249,1.0,2005-02-28,2025-10-31,0.17658941201595604,True
I3NLD012,249,1.0,2005-02-28,2025-10-31,0.18565742694368595,True
I3MLT002,249,1.0,2005-02-28,2025-10-31,0.12745763399621587,True
I3LUX001,249,1.0,2005-02-28,2025-10-31,0.21829130227019417,True
I3ITA028,249,1.0,2005-02-28,2025-10-31,0.201147515526422,True
I3ITA003,249,1.0,2005-02-28,2025-10-31,0.20027479843133716,True
I3ISL001,249,1.0,2005-02-28,2025-10-31,0.34385536406507883,True
I3IRL002,249,1.0,2005-02-28,2025-10-31,0.5655520422661854,True
I3GBR059,249,1.0,2005-02-28,2025-10-31,0.13026730890961602,True
I3IRL001,249,1.0,2005-02-28,2025-10-31,0.21947726537249834,True
I3HUN001,249,1.0,2005-02-28,2025-10-31,0.21869662832183778,True
I3HRV001,249,1.0,2005-02-28,2025-10-31,0.20757217110853624,True
I3GRC021,249,1.0,2005-02-28,2025-10-31,0.36222044364504274,True
I3GRC020,249,1.0,2005-02-28,2025-10-31,0.2944530704617459,True
I3GBR082,249,1.0,2005-02-28,2025-10-31,0.3173237259322243,True
I3GBR069,249,1.0,2005-02-28,2025-10-31,0.16208959806658854,True
I3GBR068,249,1.0,2005-02-28,2025-10-31,0.12702313987516428,True
I3GBR067,249,1.0,2005-02-28,2025-10-31,0.2375732375457619,True
I3GBR066,249,1.0,2005-02-28,2025-10-31,0.14407792362022423,True
I3GBR065,249,1.0,2005-02-28,2025-10-31,0.13002289622619484,True
I3NOR007,249,1.0,2005-02-28,2025-10-31,0.18557388194502195,True
I3POL001,249,1.0,2005-02-28,2025-10-31,0.2008236959488989,True
I3PRT002,249,1.0,2005-02-28,2025-10-31,0.17814210357423446,True
I3PRT014,249,1.0,2005-02-28,2025-10-31,0.17216853889364467,True
I6UNK003,249,1.0,2005-02-28,2025-10-31,0.1714417103568601,True
I6UNK002,249,1.0,2005-02-28,2025-10-31,0.17814103983823723,True
I6UNK001,249,1.0,2005-02-28,2025-10-31,0.15779976045713848,True
I5CAN004,249,1.0,2005-02-28,2025-10-31,0.13370041230188218,True
I5CAN003,249,1.0,2005-02-28,2025-10-31,0.13573169735610355,True
I4VEN002,249,1.0,2005-02-28,2025-10-31,4.025533487372132,True
I4MEX005,249,1.0,2005-02-28,2025-10-31,0.1656674864930844,True
I4MEX003,249,1.0,2005-02-28,2025-10-31,0.17373372278183513,True
I4MEX001,249,1.0,2005-02-28,2025-10-31,0.16746991016420282,True
I4JAM001,249,1.0,2005-02-28,2025-10-31,0.1527879855172025,True
I4COL002,249,1.0,2005-02-28,2025-10-31,0.2248231623584853,True
I4CHL003,249,1.0,2005-02-28,2025-10-31,0.16983982702650852,True
I4CHL002,249,1.0,2005-02-28,2025-10-31,0.16471870871572603,True
I4BRA003,249,1.0,2005-02-28,2025-10-31,0.21925386862761517,True
I4BRA002,249,1.0,2005-02-28,2025-10-31,0.22469611806140846,True
I4ARG003,249,1.0,2005-02-28,2025-10-31,0.4175359433060502,True
I3TUR001,249,1.0,2005-02-28,2025-10-31,1.0574439386177115,True
I3SWE004,249,1.0,2005-02-28,2025-10-31,0.15966125341063123,True
I3SWE003,249,1.0,2005-02-28,2025-10-31,0.16702319059104362,True
I3SWE002,249,1.0,2005-02-28,2025-10-31,0.17288724016752108,True
I3SWE001,249,1.0,2005-02-28,2025-10-31,0.1677532567714565,True
I3SVK001,249,1.0,2005-02-28,2025-10-31,0.14902184922472966,True
I3ROM001,249,1.0,2005-02-28,2025-10-31,0.2492410442896373,True
I3GBR062,249,1.0,2005-02-28,2025-10-31,0.13031006512108462,True
I3GBR057,249,1.0,2005-02-28,2025-10-31,0.18079584969989643,True
I6UNK005,249,1.0,2005-02-28,2025-10-31,0.1835932935674109,True
I3GBR005,249,1.0,2005-02-28,2025-10-31,0.13470213572080936,True
I3GBR017,249,1.0,2005-02-28,2025-10-31,0.21468694138785654,True
I3GBR016,249,1.0,2005-02-28,2025-10-31,0.2087591416347972,True
I3GBR014,249,1.0,2005-02-28,2025-10-31,0.19588254002593605,True
I3GBR013,249,1.0,2005-02-28,2025-10-31,0.2308508075026956,True
I3GBR012,249,1.0,2005-02-28,2025-10-31,0.1493608495318741,True
I3GBR011,249,1.0,2005-02-28,2025-10-31,0.1816029854261837,True
I3GBR010,249,1.0,2005-02-28,2025-10-31,0.2356636444125993,True
I3GBR009,249,1.0,2005-02-28,2025-10-31,0.19164346866946635,True
I3GBR008,249,1.0,2005-02-28,2025-10-31,0.15464378557627723,True
I3GBR007,249,1.0,2005-02-28,2025-10-31,0.19509198467117506,True
I3GBR006,249,1.0,2005-02-28,2025-10-31,0.2532085376832365,True
I3GBR004,249,1.0,2005-02-28,2025-10-31,0.17258187758355456,True
I3GBR055,249,1.0,2005-02-28,2025-10-31,0.16264453713926208,True
I3GBR003,249,1.0,2005-02-28,2025-10-31,0.15406923466882105,True
I3GBR001,249,1.0,2005-02-28,2025-10-31,0.13098522486126457,True
I3FRA006,249,1.0,2005-02-28,2025-10-31,0.16440631673273995,True
I3FRA005,249,1.0,2005-02-28,2025-10-31,0.1645923247531237,True
I3FRA004,249,1.0,2005-02-28,2025-10-31,0.1629438256878332,True
I3FRA002,249,1.0,2005-02-28,2025-10-31,0.16313003168142295,True
I3FRA001,249,1.0,2005-02-28,2025-10-31,0.16585606562706934,True
I3FIN022,249,1.0,2005-02-28,2025-10-31,0.17840050356625126,True
I3FIN021,249,1.0,2005-02-28,2025-10-31,0.18571654631453482,True
I3FIN020,249,1.0,2005-02-28,2025-10-31,0.17542998794538764,True
I3FIN003,249,1.0,2005-02-28,2025-10-31,0.17222928595883813,True
I3GBR018,249,1.0,2005-02-28,2025-10-31,0.2297336475286651,True
I3GBR019,249,1.0,2005-02-28,2025-10-31,0.22709196389754932,True
I3GBR020,249,1.0,2005-02-28,2025-10-31,0.3804028533538246,True
I3GBR021,249,1.0,2005-02-28,2025-10-31,0.1315415582073434,True
I3GBR054,249,1.0,2005-02-28,2025-10-31,0.14079817938900985,True
I3GBR053,249,1.0,2005-02-28,2025-10-31,0.13095731808549194,True
I3GBR052,249,1.0,2005-02-28,2025-10-31,0.13713944748844276,True
I3GBR050,249,1.0,2005-02-28,2025-10-31,0.16303733076582114,True
I3GBR049,249,1.0,2005-02-28,2025-10-31,0.12961127743942802,True
I3GBR048,249,1.0,2005-02-28,2025-10-31,0.24673855120378985,True
I3GBR047,249,1.0,2005-02-28,2025-10-31,0.216314082152829,True
I3GBR044,249,1.0,2005-02-28,2025-10-31,0.19114674345659768,True
I3GBR043,249,1.0,2005-02-28,2025-10-31,0.19496153870741345,True
I3GBR042,249,1.0,2005-02-28,2025-10-31,0.1474477843161656,True
I3GBR040,249,1.0,2005-02-28,2025-10-31,0.3303386757507046,True
I3GBR039,249,1.0,2005-02-28,2025-10-31,0.32980817101976384,True
I3GBR035,249,1.0,2005-02-28,2025-10-31,0.27350319500090287,True
I3GBR033,249,1.0,2005-02-28,2025-10-31,0.19866945540866995,True
I3GBR032,249,1.0,2005-02-28,2025-10-31,0.13735276784742328,True
I3GBR030,249,1.0,2005-02-28,2025-10-31,0.1686435710905024,True
I3GBR028,249,1.0,2005-02-28,2025-10-31,0.15594038755803105,True
I3GBR027,249,1.0,2005-02-28,2025-10-31,0.21546347575423347,True
I3GBR026,249,1.0,2005-02-28,2025-10-31,0.1719664106709997,True
I3GBR025,249,1.0,2005-02-28,2025-10-31,0.1549830548125652,True
I3GBR024,249,1.0,2005-02-28,2025-10-31,0.2173007201776131,True
I3GBR023,249,1.0,2005-02-28,2025-10-31,0.21628149622905954,True
I3GBR022,249,1.0,2005-02-28,2025-10-31,0.31613713287515066,True
I6UNK004,249,1.0,2005-02-28,2025-10-31,0.16524033861369591,True
I6UNK006,249,1.0,2005-02-28,2025-10-31,0.13970720254317856,True
I3EST002,249,1.0,2005-02-28,2025-10-31,0.22223610688636344,True
I6UNK135,249,1.0,2005-02-28,2025-10-31,0.20117339858577618,True
I6UNK148,249,1.0,2005-02-28,2025-10-31,0.14820388701606818,True
I6UNK147,249,1.0,2005-02-28,2025-10-31,0.2584965143879903,True
I6UNK146,249,1.0,2005-02-28,2025-10-31,0.21279922556861622,True
I6UNK144,249,1.0,2005-02-28,2025-10-31,0.13080503436608173,True
I6UNK143,249,1.0,2005-02-28,2025-10-31,0.18152651365531305,True
I6UNK142,249,1.0,2005-02-28,2025-10-31,0.20102668327062004,True
I6UNK141,249,1.0,2005-02-28,2025-10-31,0.14977308326226743,True
I6UNK140,249,1.0,2005-02-28,2025-10-31,0.2522131984425291,True
I6UNK139,249,1.0,2005-02-28,2025-10-31,0.20493999610017835,True
I6UNK138,249,1.0,2005-02-28,2025-10-31,0.20463867347034415,True
I6UNK136,249,1.0,2005-02-28,2025-10-31,0.14382334228212448,True
I6UNK133,249,1.0,2005-02-28,2025-10-31,0.145279357572464,True
I6UNK108,249,1.0,2005-02-28,2025-10-31,0.20569945170830356,True
I6UNK132,249,1.0,2005-02-28,2025-10-31,0.1292139124720562,True
I6UNK131,249,1.0,2005-02-28,2025-10-31,0.22391366119415393,True
I6UNK130,249,1.0,2005-02-28,2025-10-31,0.16535373434510808,True
I6UNK127,249,1.0,2005-02-28,2025-10-31,0.15567149384580248,True
I6UNK125,249,1.0,2005-02-28,2025-10-31,0.14659014184879882,True
I6UNK121,249,1.0,2005-02-28,2025-10-31,0.16850990046933476,True
I6UNK119,249,1.0,2005-02-28,2025-10-31,0.16474318809995514,True
I6UNK118,249,1.0,2005-02-28,2025-10-31,0.1771187365966655,True
I6UNK113,249,1.0,2005-02-28,2025-10-31,0.28041788610301427,True
I6UNK112,249,1.0,2005-02-28,2025-10-31,0.15517866311201614,True
I6UNK111,249,1.0,2005-02-28,2025-10-31,0.1532836780014804,True
I6UNK150,249,1.0,2005-02-28,2025-10-31,0.12543290954188813,True
I6UNK151,249,1.0,2005-02-28,2025-10-31,0.20089681211739055,True
I6UNK152,249,1.0,2005-02-28,2025-10-31,0.1932780220703707,True
I6UNK153,249,1.0,2005-02-28,2025-10-31,0.1841081585934938,True
I6USA007,249,1.0,2005-02-28,2025-10-31,0.1779523504941386,True
I6USA006,249,1.0,2005-02-28,2025-10-31,0.14896574455075856,True
I6USA005,249,1.0,2005-02-28,2025-10-31,0.1525310522570276,True
I6USA004,249,1.0,2005-02-28,2025-10-31,0.147327872523517,True
I6UNK175,249,1.0,2005-02-28,2025-10-31,0.3587607533677114,True
I6UNK173,249,1.0,2005-02-28,2025-10-31,0.15477080086249925,True
I6UNK172,249,1.0,2005-02-28,2025-10-31,0.14821077258904045,True
I6UNK171,249,1.0,2005-02-28,2025-10-31,0.19491723393350577,True
I6UNK170,249,1.0,2005-02-28,2025-10-31,0.1868371364028272,True
I6UNK169,249,1.0,2005-02-28,2025-10-31,0.22098394330627558,True
I6UNK168,249,1.0,2005-02-28,2025-10-31,0.12776144339133358,True
